tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
614,2018-05-10T08:02:57.182000,2018-05-10T08:13:12.168000,291,Madison St & Montgomery St,40.713.126,-73.984.844,3489,Gold St & Frankfort St,4.071.069.994.631.380,-7.400.354.146.957.390,31363,Subscriber,1943,female,
1122,2017-08-16T07:40:27,2017-08-16T07:59:10,3260,Mercer St & Bleecker St,4.072.706.363.348.300,-7.399.662.137.031.550,518,E 39 St & 2 Ave,4.074.780.373,-739.734.419,27590,Subscriber,1947,male,
838,2014-11-03T14:25:11,2014-11-03T14:39:09,457,Broadway & W 58 St,4.076.695.317,-7.398.169.333,318,E 43 St & Vanderbilt Ave,4.075.320.159,-739.779.874,20228,Subscriber,1936,male,
318,2017-09-22T06:44:27,2017-09-22T06:49:45,3255,8 Ave & W 31 St,407.505.853.470.215,-739.946.848.154.068,458,11 Ave & W 27 St,40.751.396,-74.005.226,15929,Subscriber,1997,male,
849,2018-03-31T14:11:48.741000,2018-03-31T14:25:58.561000,3137,5 Ave & E 73 St,4.077.282.817,-7.396.685.276,3292,5 Ave & E 93 St,407.857.851,-73.957.481,32436,Customer,1996,male,
504,2017-10-30T14:42:18,2017-10-30T14:50:42,3233,E 48 St & 5 Ave,4.075.724.567.911.720,-7.397.805.914.282.790,454,E 51 St & 1 Ave,4.075.455.731,-7.396.592.976,17682,Subscriber,1948,male,
1231,2013-11-21T12:05:55,2013-11-21T12:26:26,442,W 27 St & 7 Ave,40.746.647,-73.993.915,2004,6 Ave & Broome St,40.724.399,-74.004.704,17293,Subscriber,1949,male,
337,2017-06-22T10:03:45,2017-06-22T10:09:22,3297,6 St & 7 Ave,406.686.627,-7.397.988.067,3416,7 Ave & Park Pl,406.776.147,-7.397.324.283,18221,Subscriber,1999,male,
496,2016-05-04T05:52:47,2016-05-04T06:01:04,477,W 41 St & 8 Ave,4.075.640.548,-739.900.262,469,Broadway & W 53 St,4.076.344.058,-7.398.268.129,18731,Subscriber,1941,male,
818,2014-09-09T20:00:46,2014-09-09T20:14:24,307,Canal St & Rutgers St,4.071.427.487,-7.398.990.025,307,Canal St & Rutgers St,4.071.427.487,-7.398.990.025,18020,Subscriber,1950,male,
696,2016-09-29T18:17:16,2016-09-29T18:28:52,247,Perry St & Bleecker St,4.073.535.398,-7.400.483.091,494,W 26 St & 8 Ave,4.074.734.825,-7.399.723.551,26450,Subscriber,1952,male,
1078,2017-12-09T09:55:27,2017-12-09T10:13:25,323,Lawrence St & Willoughby St,4.069.236.178,-7.398.631.746,242,Carlton Ave & Flushing Ave,40.697.787,-73.973.736,33235,Subscriber,1950,male,
133,2017-12-11T16:54:19,2017-12-11T16:56:33,164,E 47 St & 2 Ave,4.075.323.098,-7.397.032.517,440,E 45 St & 3 Ave,4.075.255.434,-7.397.282.625,32092,Subscriber,1951,male,
600,2017-10-06T15:01:01,2017-10-06T15:11:02,3158,W 63 St & Broadway,4.077.163.851,-7.398.261.428,3134,3 Ave & E 62 St,4.076.312.584,-7.396.526.895,31116,Subscriber,1950,female,
389,2013-12-20T06:26:51,2013-12-20T06:33:20,391,Clark St & Henry St,4.069.760.127,-7.399.344.559,278,Concord St & Bridge St,4.069.766.564,-7.398.476.437,16500,Subscriber,1951,female,
543,2015-06-22T19:15:00,2015-06-22T19:24:00,318,E 43 St & Vanderbilt Ave,4.075.320.159,-739.779.874,478,11 Ave & W 41 St,4.076.030.096,-7.399.884.222,20797,Subscriber,1997,male,
397,2017-06-30T17:30:50,2017-06-30T17:37:28,3462,E 44 St & 2 Ave,4.075.118.387.463.270,-7.397.138.714.790.340,3235,E 41 St & Madison Ave,40.752.165.280.621.900,-7.397.992.193.698.880,15207,Subscriber,1996,female,
1708,2016-07-05T14:13:35,2016-07-05T14:42:03,263,Elizabeth St & Hester St,40.717.590.818.059.800,-7.399.622.440.338.130,509,9 Ave & W 22 St,407.454.973,-7.400.197.139,25746,Subscriber,1996,male,
768,2017-04-08T12:35:47,2017-04-08T12:48:36,276,Duane St & Greenwich St,4.071.748.752,-740.104.554,257,Lispenard St & Broadway,4.071.939.226,-7.400.247.214,26519,Subscriber,1948,female,
1030,2015-09-25T22:52:11,2015-09-25T23:09:21,439,E 4 St & 2 Ave,407.262.807,-7.398.978.041,369,Washington Pl & 6 Ave,4.073.224.119,-7.400.026.394,14587,Subscriber,1950,male,
1200,2015-12-19T17:15:53,2015-12-19T17:35:54,249,Harrison St & Hudson St,4.071.870.987,-740.090.009,249,Harrison St & Hudson St,4.071.870.987,-740.090.009,19182,Subscriber,1947,male,
385,2017-11-02T13:48:15,2017-11-02T13:54:40,3242,Schermerhorn St & Court St,4.069.102.925.677.960,-7.399.183.362.722.390,3455,Schermerhorn St & 3 Ave,4.068.680.820.503.430,-7.398.036.181.926.720,26626,Subscriber,1952,female,
